Nombre Producto,Sub Categoría Producto,Categoría Producto,Color,Fecha,Cantidad,Precio,Nombre Cliente,Genero,Ingreso Anual,Estado Civil,Rango Edad,Tipo Tienda,Nombre Tienda,País,Fecha actual,Costo
Litware Wall Lamp E2015 Azul,Lámparas,Electrodomésticos,Azul,07/11/2018,51,699,"Kumar, Ryan",Masculino,30000,Soltero,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,433
The Teléfono Company PDA Teléfono Unlocked 3.7 inches M510 Negro,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Negro,07/11/2018,1,238,"Baker, Jonathan",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,172
"Adventure Works 20"" CRT TV E15 Dorado",Televisores,TV y Video,Dorado,07/11/2018,1,589,"Alexander, Noah",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,428
The Teléfono Company Microsoft Windows Mobile M200 Gris Plata,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Gris Plata,07/11/2018,1,589,"Alexander, Noah",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,379
Proseware Air Conditioner 6000BTU E180 Dorado,Aires Acondicionados,Electrodomésticos,Dorado,07/11/2018,3,"199,99","Simmons, Julia",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,120
"Litware 14"" High Velocity Floor Fan E801 Negro",Ventiladores,Electrodomésticos,Negro,07/11/2018,51,889,"Smith, Ian",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,579
Contoso Azultooth Active Audífonos L15 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,07/11/2018,1,"129,99","Hughes, Alyssa",Femenino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,89
Adventure Works Desktop PC1.60 ED160 Dorado,Desktops,Computadoras,Dorado,07/11/2018,2,"269,95","Blue, Maria",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,189
The Teléfono Company PDA Palm 3.5 inch M810 Negro,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Negro,07/11/2018,3,280,"Bailey, Sara",Femenino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,205
The Teléfono Company Touch Screen Teléfonos 4-Wire/ Built-in M205 Plateado,Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,07/11/2018,1,568,"Prasad, Ann",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,365
Litware Microwave 0.9CuFt E090 Negro,Microondas,Electrodomésticos,Negro,07/11/2018,1,"99,99","Serrano, Brandi",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,68
WWI Screen 113in M1610 Negro,Proyectores y pantallas,Computadoras,Negro,07/11/2018,3,299,"Ross, Wyatt",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,214
The Teléfono Company PDA Handheld 3.5 inch M610 Dorado,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Dorado,07/11/2018,3,255,"Nelson, Alexandra",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,167
Contoso 32GB Video MP3 Player M3200 Naranja,MP4&MP3,Audio,Naranja,07/11/2018,1,627,"Wright, Richard",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,383
Proseware Desk Lamp E0130 Azul,Lámparas,Electrodomésticos,Azul,07/11/2018,1,"79,95","Powell, Brittany",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,50
Litware Sistema Home Theater 2.1 Channel E210 Marrón,Sistema Home Theater,TV y Video,Marrón,07/11/2018,4,299,"Saunders, Darren",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,17/10/2025,195
"Litware 14"" High Velocity Floor Fan E801 Dorado",Ventiladores,Electrodomésticos,Dorado,07/11/2018,1,"44,99","Murphy, Jessica",Femenino,90000,Soltero,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,17/10/2025,32
MGS Hand Games for students E400 Dorado,Juegos en caja,Juegos y juguetes,Dorado,07/11/2018,51,250,"Allen, Allison",Femenino,60000,Casado,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,17/10/2025,173
MGS Hand Games for students E400 Dorado,Juegos en caja,Juegos y juguetes,Dorado,07/11/2018,1,250,"Washington, Alexis",Femenino,60000,Casado,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,17/10/2025,179
MGS Hand Games for students E400 Dorado,Juegos en caja,Juegos y juguetes,Dorado,07/11/2018,2,250,"Jai, Kevin",Masculino,60000,Casado,Mayor a 61 años,Tienda,Tienda Los Angeles,Estados Unidos,17/10/2025,167
Fabrikam Social videographer 1'' 25mm E400 Negro,Videocámaras,Cámaras y videocámaras,Negro,07/11/2018,1,180,"Diaz, Angelica",Femenino,30000,Casado,Mayor a 61 años,Revendedora,Tienda Fortaleza,Brasil,17/10/2025,124
MGS Freelancer 2009 E153,Juegos para Descargar,Juegos y juguetes,Dorado,06/11/2018,1,43,"Li, Jose",Masculino,70000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,16/10/2025,29
Audífono Adapter for Contoso Teléfono E130 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,06/11/2018,1,250,"Hall, James",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,163
Contoso Education Essentials Bundle M300 Blanco,Accesorios de Computadoras,Computadoras,Blanco,06/11/2018,1,250,"Mitchell, Rebecca",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Porto Alegre,Brasil,16/10/2025,151
Fabrikam Refrigerator 1.7CuFt E1200 Marrón,Refrigeradores,Electrodomésticos,Marrón,06/11/2018,1,"129,99","Foster, Brianna",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,79
SV DVD 55DVD Storage Binder M56 Rojo,Películas DVD,"Música, películas y audiolibros",Rojo,06/11/2018,1,250,"Flores, Jocelyn",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,151
Litware 20'' Box Fan E401 Negro,Ventiladores,Electrodomésticos,Negro,06/11/2018,1,"25,99","Wright, Jesse",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,19
Contoso Dual Handset Cordless Phone System E20 Gris Plata,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Gris Plata,06/11/2018,1,250,"Evans, Hailey",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/10/2025,183
Contoso General Soft Carrying Case E318 Azul,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Azul,06/11/2018,1,"14,99","Uppal, Sunil",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,11
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,06/11/2018,1,"14,99","Zhang, Kyle",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,10
Adventure Works LCD19 E108 Blanco,MAC,Computadoras,Blanco,06/11/2018,1,139,"Garcia, Blake",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,92
Litware 92mm DBB Case Fan E1101 Blanco,Ventiladores,Electrodomésticos,Blanco,06/11/2018,3,"14,99","Morris, Brooke",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,10
Litware USB Durable Desk Soft Fan E1401 Azul,Ventiladores,Electrodomésticos,Azul,06/11/2018,1,30,"Howard, Christina",Femenino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,18
Contoso SLR Camera M142 Negro,Cámaras digitales SLR,Cámaras y videocámaras,Negro,06/11/2018,4,595,"Rodriguez, Emmanuel",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,362
The Teléfono Company Finger Touch Screen Teléfonos M30 Plateado,Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,06/11/2018,4,199,"Rogers, Zoe",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,146
Litware 180 CFM Vertical Discharge Fan X450 Negro,Ventiladores,Electrodomésticos,Negro,06/11/2018,1,"877,5","Harris, Austin",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,536
Contoso General Carrying Case E304 Negro,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Negro,06/11/2018,1,"19,99","Flores, Taylor",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,12
Audífono Adapter for Contoso Teléfono E130 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,06/11/2018,1,250,"Taylor, Jose",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,158
Proseware Projector 480p LCD12 Blanco,Proyectores y pantallas,Computadoras,Blanco,06/11/2018,52,229,"Baker, Alex",Masculino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,148
Cigarette Lighter Adapter for Contoso Teléfonos E110 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,06/11/2018,2,"24,99","Hayes, Kayla",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,16
SV 16xDVD M330 Negro,VCD & DVD,TV y Video,Negro,06/11/2018,2,109,"Butler, Nathan",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,71
WWI Chandelier M815 Blanco,Lámparas,Electrodomésticos,Blanco,06/11/2018,1,"268,5","White, Brandon",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/10/2025,172
Contoso Teléfono Tough Skin Case E140 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,06/11/2018,1,"23,72","Diaz, Dalton",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,15
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,06/11/2018,1,"14,99","Thompson, Jonathan",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,9
Contoso Lens Cap Keeper E314 Rosa,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Rosa,06/11/2018,1,250,"Bell, Destiny",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/10/2025,187
Contoso Water Heater 4.3GPM M1250 Azul,Calentadores de agua,Electrodomésticos,Azul,06/11/2018,1,493,"Chande, Barbara",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,363
MGS Hand Games for kids E300 Amarillo,Juegos en caja,Juegos y juguetes,Amarillo,06/11/2018,1,250,"Butler, Anna",Femenino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,157
Contoso Digital Cameras Lightweight Tripod E316 Blanco,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Blanco,06/11/2018,51,"52,13","Ward, Garrett",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,16/10/2025,33
Litware Refrigerator 4.6CuFt E280 Azul,Refrigeradores,Electrodomésticos,Azul,05/11/2018,1,595,"Martinez, José",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,416
Proseware CRT19 E201 Blanco,MAC,Computadoras,Blanco,05/11/2018,1,69,"Thompson, Edward",Masculino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,50
"The Teléfono Company Touch Screen Teléfonos 26-2.2"" M200 Plateado",Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,05/11/2018,1,230,"West, Isabella",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,172
Contoso Teléfono Tough Skin Case E140 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/11/2018,1,"23,72","Simmons, Lucas",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,15
"Contoso SLR Camera 35"" M358 Rosa",Cámaras digitales SLR,Cámaras y videocámaras,Rosa,05/11/2018,51,358,"Morgan, Adrian",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,252
Audífono Adapter for Contoso Teléfono E130 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,05/11/2018,4,250,"Cook, Katelyn",Femenino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,15/10/2025,171
Contoso Screen 80in E080 Negro,Proyectores y pantallas,Computadoras,Negro,05/11/2018,1,109,"Baker, Stephanie",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,69
Contoso 4-Line Corded Cordless Telephone M203 Negro,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Negro,05/11/2018,3,"32,99","Williams, Lauren",Femenino,80000,Soltero,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,24
Contoso Touch Stylus Pen E150 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/11/2018,1,250,"Washington, Paige",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,171
SV DVD 9-Inch Player Portable M300 Blanco,Películas DVD,"Música, películas y audiolibros",Blanco,05/11/2018,1,"159,99","Wood, Seth",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,109
Litware Wall Lamp E3015 Dorado,Lámparas,Electrodomésticos,Dorado,05/11/2018,1,"101,99","Murphy, Christina",Femenino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,67
Litware Floor Lamp M2015 Dorado,Lámparas,Electrodomésticos,Dorado,05/11/2018,51,339,"Phillips, Chloe",Femenino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,218
Contoso Rubberized Skin NegroBerry E100 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/11/2018,1,"14,99","Ramirez, Anna",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,10
Contoso Rubberized Snap-Activo Cover Hard Case Cell Teléfono Protector E160 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,05/11/2018,1,250,"Thompson, Joseph",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,170
Litware 3-Speed Oscillating High-Performance Fan E201 Blanco,Ventiladores,Electrodomésticos,Blanco,05/11/2018,1,"29,99","Alexander, Jeremy",Masculino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,22
Contoso Single-line phones E10 Gris Plata,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Gris Plata,05/11/2018,1,250,"Hernandez, Carlos",Masculino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,172
SV Videos de Auto TFT6.2W E6282 Dorado,Videos de Auto,TV y Video,Dorado,05/11/2018,1,269,"Young, Mary",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,164
NT Azultooth Active Audífonos E202 Dorado,Audífonos Azultooth,Audio,Dorado,05/11/2018,3,"37,95","Sai, Raymond",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,27
Proseware Ink Jet Fax Machine E100 Gris Plata,"Impresoras, escáneres y fax",Computadoras,Gris Plata,05/11/2018,1,78,"Jenkins, Justin",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,56
Contoso 90W AC/DC Power Adapter E300 Negro,Accesorios de Computadoras,Computadoras,Negro,05/11/2018,1,250,"Davis, Jennifer",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,155
MGS Fable: The Lost Chapters E107,Juegos para Descargar,Juegos y juguetes,Dorado,05/11/2018,1,980,"Gomez, Kristy",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,674
Contoso Rubberized Snap-Activo Cover Hard Case Cell Teléfono Protector E160 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,05/11/2018,1,250,"James, Isaac",Masculino,30000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,154
"Adventure Works 19"" Color Digital TV E35 Blanco",Televisores,TV y Video,Blanco,05/11/2018,51,589,"Smith, Emily",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,356
Contoso Hybrid system M60 Negro,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Negro,05/11/2018,51,"28,99","Smith, Emily",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,15/10/2025,20
Litware Microwave 0.9CuFt E090 Rojo,Microondas,Electrodomésticos,Rojo,05/11/2018,1,"99,99","Ferrier, Franklin",Masculino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,15/10/2025,74
SV Hand Games men M30 Rojo,Juegos en caja,Juegos y juguetes,Rojo,04/11/2018,1,250,"Murphy, Katelyn",Femenino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,172
Litware 18'' Adjustable Oscillating Pedestal Fan E301 Negro,Ventiladores,Electrodomésticos,Negro,04/11/2018,1,"36,83","Rogers, Nicole",Femenino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,26
Contoso Rubberized Skin NegroBerry E100 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,04/11/2018,1,250,"Griffin, David",Masculino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,156
SV Hand Games men M30 Rojo,Juegos en caja,Juegos y juguetes,Rojo,04/11/2018,1,250,"Murphy, Evan",Masculino,40000,Soltero,Entre 26 y 40 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,156
A. Datum SLR Camera M141 Azul,Cámaras digitales SLR,Cámaras y videocámaras,Azul,04/11/2018,51,"745,99","Powell, Luis",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,513
Litware 120mm Azul LED Case Fan E901 Negro,Ventiladores,Electrodomésticos,Negro,04/11/2018,1,250,"Chander, Jaime",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/10/2025,175
Contoso 4G MP3 Player E400 Verde,MP4&MP3,Audio,Verde,04/11/2018,4,"59,99","Mohamed, Samantha",Femenino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Chicago,Estados Unidos,14/10/2025,43
MGS Flight Simulator X M250,Juegos para Descargar,Juegos y juguetes,Rosa,04/11/2018,1,"70,13","Ross, Edward",Masculino,40000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,51
The Teléfono Company PDA Palm 3.7 inch M830 Blanco,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Blanco,04/11/2018,1,595,"She, Franklin",Masculino,160000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,402
SV Hand Games men M30 Rojo,Juegos en caja,Juegos y juguetes,Rojo,04/11/2018,3,250,"Hill, Hailey",Femenino,40000,Soltero,Entre 26 y 40 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,154
Fabrikam Laptop10.1 M0101 Dorado,Laptops,Computadoras,Dorado,04/11/2018,1,689,"Thompson, Zachary",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,483
MGS Flight Simulator X M250,Juegos para Descargar,Juegos y juguetes,Rosa,04/11/2018,1,"70,13","Collins, Caleb",Masculino,40000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,50
SV Hand Games men M30 Rojo,Juegos en caja,Juegos y juguetes,Rojo,04/11/2018,1,250,"Patel, Erick",Masculino,40000,Casado,Entre 26 y 40 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,187
Contoso Original K1m Li-Ion Standard Battery E170 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,04/11/2018,1,250,"Munoz, Andy",Masculino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,157
Contoso In front of Centrex L15 Blanco,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Blanco,04/11/2018,1,508,"Roberts, Ian",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,348
MGS Flight Simulator X M250,Juegos para Descargar,Juegos y juguetes,Rosa,04/11/2018,4,"70,13","Davis, David",Masculino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,44
Litware Refrigerator 4.6CuFt E280 Marrón,Refrigeradores,Electrodomésticos,Marrón,04/11/2018,51,"299,99","Roberts, Ian",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,210
The Teléfono Company Smart phone 320 x 320 M86 Plateado,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Plateado,04/11/2018,1,288,"Shan, Jack",Masculino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,175
MGS Flight Simulator X M250,Juegos para Descargar,Juegos y juguetes,Rosa,04/11/2018,1,"70,13","Walker, Justin",Masculino,40000,Soltero,Entre 26 y 40 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,50
MGS Flight Simulator X M250,Juegos para Descargar,Juegos y juguetes,Rosa,04/11/2018,1,"70,13","Rana, Francisco",Masculino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,48
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,04/11/2018,1,"14,99","Rubio, Diane",Femenino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,14/10/2025,10
Contoso 512MB MP3 Player E51 Azul,MP4&MP3,Audio,Azul,04/11/2018,4,627,"Johnson, Christopher",Masculino,80000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,14/10/2025,425
Proseware Fax phActivoe E100 Negro,"Impresoras, escáneres y fax",Computadoras,Negro,04/11/2018,51,87,"Davis, Jonathan",Masculino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Dallas,Estados Unidos,14/10/2025,61
SV Videos de Auto AM/FM E1001 Dorado,Videos de Auto,TV y Video,Dorado,03/11/2018,1,219,"White, Tyler",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Chicago,Estados Unidos,13/10/2025,146
Cigarette Lighter Adapter for Contoso Teléfonos E110 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,03/11/2018,1,"24,99","Zhang, Heather",Femenino,70000,Casado,Entre 41 y 50 años,Tienda,Tienda Chicago,Estados Unidos,13/10/2025,15
Audífono Adapter for Contoso Teléfono E130 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,03/11/2018,1,250,"Ross, Seth",Masculino,70000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,157
Litware Desk Lamp E1020 Gris Plata,Lámparas,Electrodomésticos,Gris Plata,03/11/2018,1,"29,99","Turner, Eduardo",Masculino,70000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,22
Contoso Touch Stylus Pen E150 Rojo,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Rojo,03/11/2018,1,250,"Hayes, Dalton",Masculino,70000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,187
Proseware Desk Lamp E0120 Negro,Lámparas,Electrodomésticos,Negro,03/11/2018,2,699,"Flores, Kevin",Masculino,70000,Casado,Mayor a 61 años,Tienda,Tienda Nueva York,Estados Unidos,13/10/2025,459
Contoso Teléfono Tough Skin Case E140 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,03/11/2018,4,"23,72","Davis, Nicholas",Masculino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Nueva York,Estados Unidos,13/10/2025,15
Proseware Air Conditioner 5200BTU E100 Rojo,Aires Acondicionados,Electrodomésticos,Rojo,03/11/2018,2,"109,99","Perry, Natalie",Femenino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,69
Litware Microwave 1.0CuFt E110 Dorado,Microondas,Electrodomésticos,Dorado,03/11/2018,1,"139,99","Jenkins, Austin",Masculino,70000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,87
Litware 120mm Azul LED Case Fan E901 Blanco,Ventiladores,Electrodomésticos,Blanco,03/11/2018,1,250,"Brown, Julia",Femenino,70000,Soltero,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,13/10/2025,156
SV Videos de Auto LCD9.2W X9281 Negro,Videos de Auto,TV y Video,Negro,03/11/2018,53,1818,"Gonzalez, Madeline",Femenino,70000,Soltero,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,13/10/2025,1356
Proseware Screen 100in M1609 Blanco,Proyectores y pantallas,Computadoras,Blanco,03/11/2018,51,190,"Jenkins, Melissa",Femenino,70000,Casado,Mayor a 61 años,Tienda,Tienda Dallas,Estados Unidos,13/10/2025,119
MGS Age of Empires II: The CActivoquerors ExpansiActivo E125,Juegos para Descargar,Juegos y juguetes,Negro,03/11/2018,51,"31,39","Ramirez, Gabrielle",Femenino,70000,Casado,Mayor a 61 años,Tienda,Tienda Dallas,Estados Unidos,13/10/2025,19
Contoso Washer & Dryer 24in M240 Dorado,Lavadoras y secadoras,Electrodomésticos,Dorado,03/11/2018,51,1818,"Gonzalez, Madeline",Femenino,70000,Soltero,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,13/10/2025,1166
